epochs, batch_size, lrate, decay, truefalse, final_accuracy
(500, 128, 0.0001, 2.0000000000000002e-07, 0, 32.43243251297925)
(500, 128, 0.0001, 2.0000000000000002e-07, 1, 31.531531665776225)
(500, 128, 0.001, 2e-06, 0, 18.918919294804066)
(500, 128, 0.001, 2e-06, 1, 17.117117143966055)
(500, 128, 0.01, 2e-05, 0, 19.819819954064517)
(500, 128, 0.01, 2e-05, 1, 18.018018044866956)
(500, 128, 0.1, 0.0002, 0, 26.126126126126124)
(500, 128, 0.1, 0.0002, 1, 26.126126126126124)
(500, 128, 0.5, 0.001, 0, 26.126126126126124)
(500, 128, 0.5, 0.001, 1, 27.927927927927925)
(500, 128, 1.0, 0.002, 0, 26.126126126126124)
(500, 128, 1.0, 0.002, 1, 27.927927927927925)
(500, 128, 5.0, 0.01, 0, 27.927927927927925)
(500, 128, 5.0, 0.01, 1, 27.927927927927925)
(500, 128, 10.0, 0.02, 0, 27.927927927927925)
(500, 128, 10.0, 0.02, 1, 27.927927927927925)
(500, 128, 100.0, 0.2, 0, 27.927927927927925)
(500, 128, 100.0, 0.2, 1, 27.927927927927925)
(1000, 8, 1e-06, 9.999999999999999e-10, 0, 28.828828875814473)
(1000, 8, 1e-06, 9.999999999999999e-10, 1, 29.729729823701017)
(1000, 8, 1e-05, 1e-08, 0, 30.63063067090404)
(1000, 8, 1e-05, 1e-08, 1, 34.234234422176804)
(1000, 8, 0.0001, 1.0000000000000001e-07, 0, 13.513513594060331)
(1000, 8, 0.0001, 1.0000000000000001e-07, 1, 14.41441454865911)
(1000, 8, 0.001, 1e-06, 0, 17.117117143966055)
(1000, 8, 0.001, 1e-06, 1, 14.41441449496123)
(1000, 8, 0.01, 1e-05, 0, 27.927927927927925)
(1000, 8, 0.01, 1e-05, 1, 27.927927927927925)
(1000, 8, 0.1, 0.0001, 0, 27.927927927927925)
